[2022-06-08 17:01:50,065] Pre-Condition - Step 01: Open Browser 'firefox' and navigate to 'https://opensource-demo.orangehrmlive.com/'
[2022-06-08 17:02:05,810] Pre-Condition - Step 02: Login with Admin Role
[2022-06-08 17:02:09,509] Add New 01 - Step 01: Open 'Employee List' page
[2022-06-08 17:02:12,315] Add New 01 - Step 02: Click to 'Add' button
[2022-06-08 17:02:13,151] Add New 01 - Step 03: Enter to 'First Name' textbox with value is: Automation427
[2022-06-08 17:02:13,276] Add New 01 - Step 04: Enter to 'Last Name' textbox with value is: FC
[2022-06-08 17:02:13,339] Add New 01 - Step 05: Get value of 'Employee ID'
[2022-06-08 17:02:13,389] Add New 01 - Step 06: Click to 'Create Login Details' checkbox
[2022-06-08 17:02:13,670] Add New 01 - Step 07: Enter to 'User Name' textbox with value is: automationfc610
[2022-06-08 17:02:13,795] Add New 01 - Step 08: Enter to 'Password' textbox with value is: 123456789
[2022-06-08 17:02:13,869] Add New 01 - Step 09: Enter to 'Confirm Password' textbox with value is: 123456789
[2022-06-08 17:02:13,913] Add New 01 - Step 10: Select 'Enabled' value in 'Status' dropdown
[2022-06-08 17:02:13,992] Add New 01 - Step 11: Click to 'Save' button
[2022-06-08 17:02:14,791] Add New 01 - Step 12: Open 'Employee List' page
[2022-06-08 17:02:23,306] Add New 01 - Step 13: Enter to 'Employee Name' textbox with value is: Automation427 FC
[2022-06-08 17:02:23,384] Add New 01 - Step 14: Click to 'Search' button
[2022-06-08 17:02:29,595] Add New 01 - Step 15: Verify Employee Information displayed at 'Result Table'
[2022-06-08 17:02:29,709]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:02:29,773]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:02:29,855]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:02:30,082] Upload Avatar 02 - Step 01: Login with Employee Role
[2022-06-08 17:02:33,419] Upload Avatar 02 - Step 02: Click to My Info Menu
[2022-06-08 17:02:35,405] Upload Avatar 02 - Step 03: Click to Change Photo image
[2022-06-08 17:02:36,273] Upload Avatar 02 - Step 04: Upload new avatar
[2022-06-08 17:02:36,310] Upload Avatar 02 - Step 05: Click to Upload button
[2022-06-08 17:02:38,955] Upload Avatar 02 - Step 06: Verify Success Message is displayed
[2022-06-08 17:02:39,021]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:02:39,021] Upload Avatar 02 - Step 07: Verify new Avatar is displayed
[2022-06-08 17:02:39,069]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:02:39,076] Personal Details 03 - Step 01: Open 'Personal Details' tab at Side bar
[2022-06-08 17:02:40,160] Personal Details 03 - Step 02: Verify all fields at 'Personal Details' form are disabled
[2022-06-08 17:03:20,497] Pre-Condition - Step 01: Open Browser 'firefox' and navigate to 'https://opensource-demo.orangehrmlive.com/'
[2022-06-08 17:03:27,688] Pre-Condition - Step 02: Login with Admin Role
[2022-06-08 17:03:31,697] Add New 01 - Step 01: Open 'Employee List' page
[2022-06-08 17:03:34,556] Add New 01 - Step 02: Click to 'Add' button
[2022-06-08 17:03:35,462] Add New 01 - Step 03: Enter to 'First Name' textbox with value is: Automation610
[2022-06-08 17:03:35,541] Add New 01 - Step 04: Enter to 'Last Name' textbox with value is: FC
[2022-06-08 17:03:35,599] Add New 01 - Step 05: Get value of 'Employee ID'
[2022-06-08 17:03:35,641] Add New 01 - Step 06: Click to 'Create Login Details' checkbox
[2022-06-08 17:03:35,914] Add New 01 - Step 07: Enter to 'User Name' textbox with value is: automationfc308
[2022-06-08 17:03:35,963] Add New 01 - Step 08: Enter to 'Password' textbox with value is: 123456789
[2022-06-08 17:03:36,035] Add New 01 - Step 09: Enter to 'Confirm Password' textbox with value is: 123456789
[2022-06-08 17:03:36,079] Add New 01 - Step 10: Select 'Enabled' value in 'Status' dropdown
[2022-06-08 17:03:36,129] Add New 01 - Step 11: Click to 'Save' button
[2022-06-08 17:03:36,931] Add New 01 - Step 12: Open 'Employee List' page
[2022-06-08 17:03:45,292] Add New 01 - Step 13: Enter to 'Employee Name' textbox with value is: Automation610 FC
[2022-06-08 17:03:45,369] Add New 01 - Step 14: Click to 'Search' button
[2022-06-08 17:03:51,595] Add New 01 - Step 15: Verify Employee Information displayed at 'Result Table'
[2022-06-08 17:03:51,689]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:03:51,758]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:03:51,844]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:03:51,920] Upload Avatar 02 - Step 01: Login with Employee Role
[2022-06-08 17:03:55,094] Upload Avatar 02 - Step 02: Click to My Info Menu
[2022-06-08 17:03:57,149] Upload Avatar 02 - Step 03: Click to Change Photo image
[2022-06-08 17:03:58,021] Upload Avatar 02 - Step 04: Upload new avatar
[2022-06-08 17:03:58,049] Upload Avatar 02 - Step 05: Click to Upload button
[2022-06-08 17:04:00,692] Upload Avatar 02 - Step 06: Verify Success Message is displayed
[2022-06-08 17:04:00,749]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:04:00,750] Upload Avatar 02 - Step 07: Verify new Avatar is displayed
